user_id,customer_id,months_used,device,city_level,warehouse_dist,marital,age_group,gender,hours_app,orders_last_month,days_since_order,fav_category,followed_anchor,satisfaction,complaints,coupons_used
33,53899,8,Mobile Phone,1,12,Married,5,Male,3,5,14,Laptop & Accessory,3,1,0,5
34,55369,8,Mobile Phone,1,12,Married,5,Male,3,5,14,Laptop & Accessory,3,1,0,1
35,53901,7,PC,1,28,Married,2,Male,4,3,14,Mobile Phone,3,4,0,3
36,55371,7,PC,1,28,Married,2,Male,4,3,14,Mobile Phone,3,4,0,1
37,54311,14,Pad,1,33,Married,4,Female,3,3,14,Laptop & Accessory,3,4,0,1
38,53035,9,Mobile Phone,1,12,Single,4,Male,4,2,14,Fashion,2,4,0,1
39,53442,24,Pad,3,7,Divorced,4,Female,4,2,14,Laptop & Accessory,2,3,0,2
40,54505,9,Mobile Phone,1,12,Single,4,Male,4,2,14,Fashion,2,4,0,2
41,54912,24,Pad,3,7,Married,4,Female,4,2,14,Laptop & Accessory,2,3,0,1
42,52268,17,Mobile Phone,1,10,Married,1,Male,3,14,13,Others,2,5,0,11
43,53451,27,Pad,3,9,Divorced,5,Female,3,7,13,Fashion,4,4,0,4
44,54921,27,Pad,3,9,Married,5,Female,3,7,13,Fashion,4,4,0,6
45,53618,13,Mobile Phone,1,9,Single,4,Female,3,6,13,Laptop & Accessory,11,4,1,5
46,55088,13,Mobile Phone,1,9,Single,4,Female,3,6,13,Laptop & Accessory,11,4,1,5
47,50844,9,Pad,3,13,Divorced,1,Female,2,6,13,Laptop & Accessory,3,5,0,5
48,52314,9,Pad,3,13,Married,1,Female,2,6,13,Laptop & Accessory,3,5,0,5
49,53269,12,Pad,1,9,Single,2,Female,4,5,13,Laptop & Accessory,8,5,1,5
50,53496,19,Pad,3,16,Divorced,5,Female,4,5,13,Laptop & Accessory,3,3,0,1
51,54739,12,Pad,1,9,Single,2,Female,4,5,13,Laptop & Accessory,8,5,1,1
52,54966,19,Pad,3,16,Married,5,Female,4,5,13,Laptop & Accessory,3,3,0,5
53,50099,11,Mobile Phone,3,9,Married,3,Male,3,5,13,Fashion,1,3,0,1
54,51569,11,Mobile Phone,3,9,Married,3,Male,3,5,13,Fashion,1,3,0,1
55,53085,5,Mobile Phone,1,14,Divorced,4,Female,3,4,13,Laptop & Accessory,3,5,0,4
56,53739,8,Mobile Phone,3,10,Single,6,Male,3,4,13,Laptop & Accessory,5,5,0,3
57,54555,5,Mobile Phone,1,14,Married,4,Female,3,4,13,Laptop & Accessory,3,5,0,4
58,55209,8,Mobile Phone,3,10,Single,6,Male,3,4,13,Laptop & Accessory,5,5,0,3
59,51084,7,PC,1,11,Married,4,Male,2,4,13,Laptop & Accessory,2,1,0,4
60,52554,7,PC,1,11,Married,4,Male,2,4,13,Laptop & Accessory,2,1,0,3
61,51086,7,PC,1,27,Married,1,Male,3,2,13,Household,2,4,0,2
62,52556,7,PC,1,27,Married,1,Male,3,2,13,Household,2,4,0,0
63,51496,13,Pad,1,32,Married,3,Female,2,2,13,Laptop & Accessory,2,4,0,0
64,50220,8,Mobile Phone,1,11,Single,3,Male,3,1,13,Fashion,1,4,0,0
65,50627,23,Pad,3,6,Divorced,3,Female,3,1,13,Laptop & Accessory,1,3,0,1
66,51690,8,Mobile Phone,1,11,Single,3,Male,3,1,13,Fashion,1,4,0,1
67,52097,23,Pad,3,6,Married,3,Female,3,1,13,Laptop & Accessory,1,3,0,0
68,51032,13,Mobile Phone,1,21,Married,4,Female,3,14,12,Fashion,2,3,0,12
69,52502,13,Mobile Phone,1,21,Married,4,Female,3,14,12,Fashion,2,3,0,11
70,54138,13,Pad,3,22,Married,6,Male,3,12,12,Laptop & Accessory,3,1,0,7
71,55608,13,Pad,3,22,Married,6,Male,3,12,12,Laptop & Accessory,3,1,0,9
72,52960,13,Mobile Phone,1,13,Divorced,4,Male,3,11,12,Mobile Phone,2,2,0,10
73,54430,13,Mobile Phone,1,13,Married,4,Male,3,11,12,Mobile Phone,2,1,0,8
74,53002,19,Pad,1,14,Married,4,Male,4,10,12,Fashion,3,5,0,6
75,54472,19,Pad,1,14,Married,4,Male,4,10,12,Fashion,3,5,0,4
76,54059,8,Pad,1,29,Married,5,Male,3,7,12,Laptop & Accessory,3,1,1,4
77,55529,8,Pad,1,29,Married,5,Male,3,7,12,Laptop & Accessory,3,1,1,4
78,53372,12,Mobile Phone,1,7,Divorced,4,Female,4,6,12,Fashion,3,5,0,4
79,54290,23,Mobile Phone,1,27,Married,4,Female,4,6,12,Laptop & Accessory,3,5,0,6
80,54842,12,Mobile Phone,1,7,Married,4,Female,4,6,12,Fashion,3,5,0,5
81,50636,26,Pad,3,8,Divorced,4,Female,2,6,12,Fashion,3,4,0,3
82,52106,26,Pad,3,8,Married,4,Female,2,6,12,Fashion,3,4,0,5
83,53355,13,Mobile Phone,1,21,Divorced,4,Male,4,5,12,Laptop & Accessory,2,2,1,5
84,53674,8,Mobile Phone,1,9,Single,4,Female,4,5,12,Laptop & Accessory,3,2,0,2
85,54825,13,Mobile Phone,1,21,Married,4,Male,4,5,12,Laptop & Accessory,2,1,1,3
86,55144,8,Mobile Phone,1,9,Single,4,Female,4,5,12,Laptop & Accessory,3,1,0,5
87,53312,13,Mobile Phone,3,7,Divorced,4,Male,3,5,12,Laptop & Accessory,3,2,1,3
88,54782,13,Mobile Phone,3,7,Married,4,Male,3,5,12,Laptop & Accessory,3,1,1,4
89,50803,9,Mobile Phone,1,8,Single,3,Female,2,5,12,Laptop & Accessory,10,4,1,4
90,52273,9,Mobile Phone,1,8,Single,3,Female,2,5,12,Laptop & Accessory,10,4,1,4
91,50454,11,Pad,1,8,Single,1,Female,3,4,12,Laptop & Accessory,7,5,1,4
92,50681,18,Pad,3,15,Divorced,4,Female,3,4,12,Laptop & Accessory,2,3,0,3
93,50764,8,Pad,3,14,Divorced,4,Female,3,4,12,Fashion,5,2,1,2
94,51924,11,Pad,1,8,Single,1,Female,3,4,12,Laptop & Accessory,7,5,1,1
95,52151,18,Pad,3,15,Married,4,Female,3,4,12,Laptop & Accessory,2,3,0,4
96,52234,8,Pad,3,14,Married,4,Female,3,4,12,Fashion,5,1,1,3
97,53546,11,Mobile Phone,1,7,Divorced,5,Female,3,4,12,Laptop & Accessory,3,2,0,4
98,55016,11,Mobile Phone,1,8,Married,5,Female,3,4,12,Laptop & Accessory,3,1,0,1
99,50270,4,PC,1,13,Divorced,3,Female,2,3,12,Laptop & Accessory,2,5,0,3
100,50924,7,PC,3,9,Single,5,Male,2,3,12,Laptop & Accessory,4,5,0,2
101,51740,4,PC,1,13,Married,3,Female,2,3,12,Laptop & Accessory,2,5,0,3
102,52394,7,PC,3,9,Single,5,Male,2,3,12,Laptop & Accessory,4,5,0,2
103,50235,9,Pad,3,9,Divorced,4,Male,2,1,12,Fashion,5,2,0,0
104,50409,13,Pad,3,11,Divorced,4,Male,2,1,12,Fashion,6,5,1,0
105,51705,9,Pad,3,9,Married,4,Male,2,1,12,Fashion,5,1,0,0
106,51879,13,Pad,3,11,Married,4,Male,2,1,12,Fashion,6,5,1,0
107,53749,1,Mobile Phone,3,31,Single,5,Female,3,11,11,Laptop & Accessory,2,4,1,6
108,55219,1,Mobile Phone,3,31,Single,5,Female,3,11,11,Laptop & Accessory,2,4,1,5
109,53527,1,Mobile Phone,3,30,Divorced,5,Female,3,4,11,Fashion,3,5,0,1
110,54997,1,Mobile Phone,3,30,Married,5,Female,3,4,11,Fashion,3,5,0,2
111,50303,33,Pad,3,34,Divorced,4,Female,3,13,11,Fashion,5,5,0,13
112,51773,33,Pad,3,34,Married,4,Female,3,13,11,Fashion,5,5,0,9
113,53217,13,Mobile Phone,1,9,Single,5,Female,4,12,11,Laptop & Accessory,3,3,0,10
114,54687,13,Mobile Phone,1,9,Single,5,Female,4,12,11,Laptop & Accessory,3,3,0,8
115,53609,25,Pad,3,16,Married,4,Male,3,12,11,Others,6,4,1,9
116,55079,25,Pad,3,16,Married,4,Male,3,12,11,Others,6,4,1,7
117,51290,23,Mobile Phone,1,31,Single,3,Male,2,12,11,Fashion,3,3,0,10
118,52760,23,Mobile Phone,1,31,Single,3,Male,2,12,11,Fashion,3,3,0,9
119,51323,9,Pad,3,21,Married,5,Male,2,11,11,Laptop & Accessory,2,1,0,4
120,52793,9,Pad,3,21,Married,5,Male,2,11,11,Laptop & Accessory,2,1,0,5
121,50145,9,PC,1,12,Divorced,3,Male,2,10,11,Household,1,2,0,5
122,51615,9,PC,1,12,Married,3,Male,2,10,11,Household,1,1,0,5
123,50187,18,Pad,1,13,Married,3,Male,3,9,11,Fashion,2,5,0,5
124,51657,18,Pad,1,13,Married,3,Male,3,9,11,Fashion,2,5,0,8
125,53193,27,Mobile Phone,3,7,Single,4,Female,3,9,11,Laptop & Accessory,9,5,0,7
126,54663,27,Mobile Phone,3,7,Single,4,Female,3,9,11,Laptop & Accessory,9,5,0,5
127,52864,4,Pad,1,16,Married,4,Male,4,7,11,Laptop & Accessory,3,5,0,4
128,54334,4,Pad,1,16,Married,4,Male,4,7,11,Laptop & Accessory,3,5,0,6
129,54101,14,Mobile Phone,3,9,Married,4,Female,4,6,11,Laptop & Accessory,5,4,0,2
130,55571,14,Mobile Phone,3,9,Married,4,Female,4,6,11,Laptop & Accessory,5,4,0,6
131,53437,15,Pad,1,14,Married,6,Female,3,6,11,Others,3,3,0,3
132,53611,8,Pad,1,26,Married,4,Female,3,6,11,Laptop & Accessory,6,4,0,4
133,54907,15,Pad,1,14,Married,6,Female,3,6,11,Others,3,3,0,6
134,55081,8,Pad,1,26,Married,4,Female,3,6,11,Laptop & Accessory,6,4,0,2
135,51244,7,Pad,1,28,Married,4,Male,2,6,11,Laptop & Accessory,2,1,1,3
136,52714,7,Pad,1,28,Married,4,Male,2,6,11,Laptop & Accessory,2,1,1,3
137,51475,22,Mobile Phone,1,26,Married,3,Female,3,5,11,Laptop & Accessory,2,5,0,5
138,53033,5,Mobile Phone,1,14,Single,4,Female,3,5,11,Fashion,3,2,1,3
139,53574,7,Mobile Phone,1,16,Divorced,4,Male,3,5,11,Mobile Phone,2,2,0,2
140,54503,5,Mobile Phone,1,14,Single,4,Female,3,5,11,Fashion,3,1,1,5
141,55044,7,Mobile Phone,1,16,Married,4,Male,3,5,11,Mobile Phone,2,1,0,1
142,50540,9,Mobile Phone,1,20,Divorced,3,Male,3,4,11,Laptop & Accessory,1,2,1,4
143,50859,7,Mobile Phone,1,8,Single,3,Female,3,4,11,Laptop & Accessory,2,2,0,1
144,52010,9,Mobile Phone,1,20,Married,3,Male,3,4,11,Laptop & Accessory,1,1,1,2
145,52329,7,Mobile Phone,1,8,Single,3,Female,3,4,11,Laptop & Accessory,2,1,0,4
146,54009,3,Pad,1,27,Married,4,Male,3,4,11,Mobile Phone,3,1,0,2
147,55479,3,Pad,1,27,Married,4,Male,3,4,11,Mobile Phone,3,1,0,2
148,50497,9,Mobile Phone,3,6,Divorced,3,Male,2,4,11,Laptop & Accessory,2,2,1,2
149,51967,9,Mobile Phone,3,6,Married,3,Male,2,4,11,Laptop & Accessory,2,1,1,3
150,54264,8,Mobile Phone,1,13,Single,4,Female,3,3,11,Laptop & Accessory,3,3,0,1
151,50731,13,Mobile Phone,1,6,Divorced,4,Female,2,3,11,Laptop & Accessory,2,2,0,3
152,52201,13,Mobile Phone,1,7,Married,4,Female,2,3,11,Laptop & Accessory,2,1,0,2
153,50034,13,Mobile Phone,3,10,Divorced,4,Male,3,2,11,Fashion,8,2,0,2
154,51504,13,Mobile Phone,3,10,Married,4,Male,3,2,11,Fashion,8,1,0,1
155,53137,15,Pad,3,17,Single,4,Male,3,2,11,Laptop & Accessory,9,2,0,1
156,53841,9,Mobile Phone,1,25,Married,2,Male,3,2,11,Laptop & Accessory,3,5,0,1
157,54607,15,Pad,3,17,Single,4,Male,3,2,11,Laptop & Accessory,9,1,0,1
158,55311,9,Mobile Phone,1,25,Married,2,Male,3,2,11,Laptop & Accessory,3,5,0,2
159,55606,15,Mobile Phone,1,35,Married,5,Female,3,2,11,Grocery,2,4,0,2
160,50934,3,PC,3,30,Single,4,Female,2,10,10,Laptop & Accessory,1,4,1,6
161,52404,3,PC,3,30,Single,4,Female,2,10,10,Laptop & Accessory,1,4,1,5
162,53440,16,Mobile Phone,3,9,Divorced,6,Female,3,7,10,Others,3,2,0,6
163,54910,16,Mobile Phone,3,9,Married,6,Female,3,7,10,Others,3,1,0,4
164,50712,3,Mobile Phone,3,29,Divorced,4,Female,2,3,10,Fashion,2,5,0,2
165,52182,3,Mobile Phone,3,29,Married,4,Female,2,3,10,Fashion,2,5,0,1
166,52896,1,Mobile Phone,3,34,Divorced,4,Female,3,2,10,Fashion,3,2,0,2
167,54366,1,Mobile Phone,3,34,Married,4,Female,3,2,10,Fashion,3,1,0,1
168,51179,23,Mobile Phone,1,10,Married,4,Female,3,14,10,Fashion,9,4,1,9
169,52649,23,Mobile Phone,1,10,Married,4,Female,3,14,10,Fashion,9,4,1,10
170,52881,26,Mobile Phone,1,7,Divorced,5,Male,4,12,10,Others,2,3,0,8
171,53010,6,Mobile Phone,3,15,Divorced,5,Female,4,12,10,Laptop & Accessory,3,4,1,6
172,54351,26,Mobile Phone,1,7,Married,5,Male,4,12,10,Others,2,3,0,11
173,54480,6,Mobile Phone,3,15,Married,5,Female,4,12,10,Laptop & Accessory,3,4,1,12
174,53642,15,Pad,3,17,Single,6,Male,3,12,10,Laptop & Accessory,3,4,0,10
175,55112,15,Pad,3,17,Single,6,Male,3,12,10,Laptop & Accessory,3,4,0,8
176,50402,12,PC,1,8,Single,4,Female,3,11,10,Laptop & Accessory,2,3,0,8
177,51872,12,PC,1,8,Single,4,Female,3,11,10,Laptop & Accessory,2,3,0,6
178,54222,12,Pad,1,36,Single,4,Female,3,10,10,Laptop & Accessory,3,1,0,7
179,53565,4,Mobile Phone,1,14,Married,4,Male,3,9,10,Laptop & Accessory,3,3,0,9
180,55035,4,Mobile Phone,1,14,Married,4,Male,3,9,10,Laptop & Accessory,3,3,0,5
181,54224,31,Mobile Phone,3,32,Single,4,Female,5,8,10,Fashion,9,5,0,7
182,53870,8,Mobile Phone,1,10,Married,4,Female,4,8,10,Laptop & Accessory,3,4,0,8
183,55340,8,Mobile Phone,1,10,Married,4,Female,4,8,10,Laptop & Accessory,3,4,0,8
184,54063,13,Mobile Phone,1,16,Married,4,Male,3,8,10,Laptop & Accessory,3,5,0,5
185,55533,13,Mobile Phone,1,16,Married,4,Male,3,8,10,Laptop & Accessory,3,5,0,5
186,50378,26,Mobile Phone,3,6,Single,3,Female,2,8,10,Laptop & Accessory,8,5,0,6
187,51848,26,Mobile Phone,3,6,Single,3,Female,2,8,10,Laptop & Accessory,8,5,0,4
188,52988,9,Mobile Phone,3,23,Divorced,4,Male,4,7,10,Fashion,2,4,0,4
189,53159,26,Mobile Phone,1,13,Married,4,Male,4,7,10,Laptop & Accessory,5,5,1,3
190,54458,9,Mobile Phone,3,23,Married,4,Male,4,7,10,Fashion,2,4,0,4
191,54629,26,Mobile Phone,1,13,Married,4,Male,4,7,10,Laptop & Accessory,5,5,1,3
192,53138,9,Mobile Phone,3,7,Divorced,4,Male,3,7,10,Laptop & Accessory,11,3,0,4
193,54608,9,Mobile Phone,3,7,Married,4,Male,3,7,10,Laptop & Accessory,11,3,0,2
194,52938,8,Mobile Phone,1,9,Divorced,5,Male,3,6,10,Laptop & Accessory,8,5,0,2
195,54298,13,Mobile Phone,3,11,Married,5,Female,3,6,10,Laptop & Accessory,6,3,0,6
196,54408,8,Mobile Phone,1,9,Married,5,Male,3,6,10,Laptop & Accessory,8,5,0,3
197,50049,3,Pad,1,15,Married,3,Male,0,6,10,Laptop & Accessory,2,5,0,2
198,51519,3,Pad,1,15,Married,3,Male,0,6,10,Laptop & Accessory,2,5,0,5
199,53538,8,Pad,1,7,Single,5,Male,4,5,10,Laptop & Accessory,2,5,0,2
200,55008,8,Pad,1,8,Single,5,Male,4,5,10,Laptop & Accessory,2,5,0,1
201,51286,13,Mobile Phone,3,8,Married,3,Female,3,5,10,Laptop & Accessory,4,4,0,1
202,52756,13,Mobile Phone,3,8,Married,3,Female,3,5,10,Laptop & Accessory,4,4,0,1
203,50796,7,Pad,1,25,Married,3,Female,2,5,10,Laptop & Accessory,5,4,0,3
204,52266,7,Pad,1,25,Married,3,Female,2,5,10,Laptop & Accessory,5,4,0,3
205,53378,13,Mobile Phone,1,9,Single,4,Male,4,4,10,Mobile Phone,6,3,0,3
206,54848,13,Mobile Phone,1,9,Single,4,Male,4,4,10,Mobile Phone,6,3,0,2
207,53851,19,Mobile Phone,1,9,Married,5,Female,3,4,10,Laptop & Accessory,3,1,0,3
208,55321,19,Mobile Phone,1,9,Married,5,Female,3,4,10,Laptop & Accessory,3,1,0,4
209,50218,4,Mobile Phone,1,13,Single,3,Female,2,4,10,Fashion,2,2,1,2
210,51688,4,Mobile Phone,1,13,Single,3,Female,2,4,10,Fashion,2,1,1,4
211,50759,6,PC,1,15,Divorced,3,Male,0,4,10,Household,1,2,0,1
212,52229,6,PC,1,15,Married,3,Male,0,4,10,Household,1,1,0,2
213,53848,9,Pad,1,15,Married,4,Female,3,3,10,Laptop & Accessory,3,3,0,3
214,53878,12,Pad,1,7,Married,4,Male,3,3,10,Laptop & Accessory,9,1,0,3
215,55318,9,Pad,1,15,Married,4,Female,3,3,10,Laptop & Accessory,3,3,0,1
216,55348,12,Pad,1,8,Married,4,Male,3,3,10,Laptop & Accessory,9,1,0,2
217,51194,2,Pad,1,26,Married,3,Male,2,3,10,Mobile Phone,2,1,0,1
218,52664,2,Pad,1,26,Married,3,Male,2,3,10,Mobile Phone,2,1,0,1
219,53015,4,Mobile Phone,1,35,Divorced,4,Female,4,2,10,Laptop & Accessory,3,2,0,1
220,53260,13,Pad,3,15,Single,5,Male,4,2,10,Fashion,3,5,0,1
221,53508,13,Pad,1,25,Single,4,Male,4,2,10,Laptop & Accessory,4,2,0,2
222,54142,12,Mobile Phone,3,17,Married,4,Female,4,2,10,Laptop & Accessory,3,1,0,1
223,54234,6,Mobile Phone,1,7,Married,4,Male,4,2,10,Laptop & Accessory,3,4,0,2
224,54244,12,Pad,1,13,Married,6,Female,4,2,10,Laptop & Accessory,9,1,1,1
225,54281,4,Pad,1,30,Married,6,Male,4,2,10,Mobile Phone,3,3,0,1
226,54485,4,Mobile Phone,1,35,Married,4,Female,4,2,10,Laptop & Accessory,3,1,0,2
227,54730,13,Pad,3,15,Single,5,Male,4,2,10,Fashion,3,5,0,1
228,54978,13,Pad,1,25,Single,4,Male,4,2,10,Laptop & Accessory,4,1,0,1
229,55612,12,Mobile Phone,3,17,Married,4,Female,4,2,10,Laptop & Accessory,3,1,0,1
230,52846,3,Pad,1,7,Divorced,4,Male,3,2,10,Laptop & Accessory,3,3,0,1
231,52973,3,Pad,3,9,Single,4,Male,3,2,10,Laptop & Accessory,3,2,0,1
232,53343,11,Pad,3,26,Single,4,Male,3,2,10,Fashion,3,4,1,1
233,53570,31,Mobile Phone,3,14,Married,2,Male,3,2,10,Laptop & Accessory,2,2,1,1
234,53696,3,Mobile Phone,2,24,Single,5,Male,3,2,10,Fashion,3,5,0,1
235,53879,3,Mobile Phone,3,12,Married,5,Male,3,2,10,Laptop & Accessory,3,4,1,1
236,53922,23,Mobile Phone,1,20,Single,4,Male,3,2,10,Laptop & Accessory,8,4,0,2
237,54054,7,Mobile Phone,3,17,Single,4,Male,3,2,10,Laptop & Accessory,3,3,0,1
238,54083,9,Mobile Phone,3,14,Married,4,Female,3,2,10,Laptop & Accessory,3,1,1,2
239,54132,33,Pad,1,7,Married,4,Male,3,2,10,Laptop & Accessory,3,3,0,1
240,54316,3,Pad,1,7,Married,4,Male,3,2,10,Laptop & Accessory,3,3,0,1
241,54443,3,Pad,3,9,Single,4,Male,3,2,10,Laptop & Accessory,3,1,0,1
242,54813,11,Pad,3,26,Single,4,Male,3,2,10,Fashion,3,4,1,1
243,55040,31,Mobile Phone,3,14,Married,2,Male,3,2,10,Laptop & Accessory,2,1,1,1
244,55166,3,Mobile Phone,2,24,Single,5,Male,3,2,10,Fashion,3,5,0,1
245,55349,3,Mobile Phone,3,12,Married,5,Male,3,2,10,Laptop & Accessory,3,4,1,1
246,55392,23,Mobile Phone,1,20,Single,4,Male,3,2,10,Laptop & Accessory,8,4,0,2
247,55524,7,Mobile Phone,3,17,Single,4,Male,3,2,10,Laptop & Accessory,3,3,0,1
248,55553,9,Mobile Phone,3,14,Married,4,Female,3,2,10,Laptop & Accessory,3,1,1,2
249,55602,33,Pad,1,8,Married,4,Male,3,2,10,Laptop & Accessory,3,3,0,1
250,51449,7,PC,1,12,Single,3,Female,2,2,10,Laptop & Accessory,2,3,0,0
251,54090,17,Mobile Phone,1,18,Married,4,Male,2,2,10,Fashion,3,3,0,2
252,55560,17,Mobile Phone,1,18,Married,4,Male,2,2,10,Fashion,3,3,0,2
253,50322,14,Pad,3,16,Single,3,Male,2,1,10,Laptop & Accessory,8,2,0,0
254,51026,8,Mobile Phone,1,24,Married,1,Male,2,1,10,Laptop & Accessory,2,5,0,0
255,51792,14,Pad,3,16,Single,3,Male,2,1,10,Laptop & Accessory,8,1,0,0
256,52496,8,Mobile Phone,1,24,Married,1,Male,2,1,10,Laptop & Accessory,2,5,0,1
257,54135,23,PC,1,14,Married,4,Male,4,10,9,Mobile Phone,10,3,0,7
258,55605,23,PC,1,14,Married,4,Male,4,10,9,Mobile Phone,10,3,0,7
259,53253,1,Mobile Phone,1,7,Single,4,Male,4,8,9,Mobile Phone,3,2,1,6
260,53327,1,Pad,1,32,Married,4,Female,4,8,9,Mobile Phone,3,4,1,5
261,54723,1,Mobile Phone,1,7,Single,4,Male,4,8,9,Mobile Phone,3,1,1,7
262,54797,1,Pad,1,32,Married,4,Female,4,8,9,Mobile Phone,3,4,1,7
263,50842,23,Mobile Phone,1,13,Divorced,4,Female,2,5,9,Fashion,8,5,1,4
264,52312,23,Mobile Phone,1,13,Married,4,Female,2,5,9,Fashion,8,5,1,1
265,53483,1,Pad,1,36,Single,5,Female,3,4,9,Laptop & Accessory,3,3,0,4
266,54953,1,Pad,1,36,Single,5,Female,3,4,9,Laptop & Accessory,3,3,0,3
267,54086,1,Pad,3,33,Married,4,Male,4,2,9,Laptop & Accessory,3,1,1,1
268,55556,1,Pad,3,33,Married,4,Male,4,2,9,Laptop & Accessory,3,1,1,1
269,53982,1,Mobile Phone,1,17,Single,4,Male,3,2,9,Laptop & Accessory,3,5,0,1
270,55452,1,Mobile Phone,1,17,Single,4,Male,3,2,9,Laptop & Accessory,3,5,0,1
271,50656,3,Pad,1,30,Single,4,Male,3,1,9,Fashion,2,5,0,0
272,50987,16,Mobile Phone,1,8,Married,4,Female,3,1,9,Fashion,1,1,0,1
273,52126,3,Pad,1,30,Single,4,Male,3,1,9,Fashion,2,5,0,1
274,52457,16,Mobile Phone,1,8,Married,4,Female,3,1,9,Fashion,1,1,0,0
275,50081,3,Mobile Phone,3,33,Divorced,3,Female,2,1,9,Fashion,2,2,0,1
276,51551,3,Mobile Phone,3,33,Married,3,Female,2,1,9,Fashion,2,1,0,0
277,55403,14,Mobile Phone,3,14,Single,4,Male,3,13,9,Others,3,4,0,13
278,50969,15,Pad,1,8,Married,3,Male,2,13,9,Fashion,3,1,1,12
279,52439,15,Pad,1,8,Married,3,Male,2,13,9,Fashion,3,1,1,10
280,54271,25,Pad,1,7,Single,5,Female,2,13,9,Fashion,5,5,0,9
281,53199,9,Mobile Phone,1,13,Single,6,Male,3,12,9,Laptop & Accessory,3,2,0,12
282,53669,14,Mobile Phone,1,9,Married,2,Female,3,12,9,Laptop & Accessory,7,3,0,8
283,54669,9,Mobile Phone,1,13,Single,6,Male,3,12,9,Laptop & Accessory,3,1,0,5
284,55139,14,Mobile Phone,1,9,Married,2,Female,3,12,9,Laptop & Accessory,7,3,0,7
285,54249,4,Mobile Phone,1,9,Married,5,Male,5,11,9,Laptop & Accessory,3,1,0,8
286,50195,5,Mobile Phone,3,14,Divorced,4,Female,3,11,9,Laptop & Accessory,2,4,1,9
287,51665,5,Mobile Phone,3,14,Married,4,Female,3,11,9,Laptop & Accessory,2,4,1,11
288,50827,14,Pad,3,16,Single,5,Male,2,11,9,Laptop & Accessory,2,4,0,5
289,52297,14,Pad,3,16,Single,5,Male,2,11,9,Laptop & Accessory,2,4,0,4
290,53025,19,Mobile Phone,1,15,Divorced,4,Male,4,10,9,Laptop & Accessory,11,2,0,8
291,54495,19,Mobile Phone,1,15,Married,4,Male,4,10,9,Laptop & Accessory,11,1,0,9
